38,108,5032,5031,ZERO_RESULTS
38,109,5033,5032,ZERO_RESULTS
14,38,5088,5087,ZERO_RESULTS
65,122,5193,5192,ZERO_RESULTS
65,123,5194,5193,ZERO_RESULTS
65,120,5195,5194,ZERO_RESULTS
65,121,5196,5195,ZERO_RESULTS
65,126,5197,5196,ZERO_RESULTS
65,127,5198,5197,ZERO_RESULTS
65,124,5199,5198,ZERO_RESULTS
65,125,5200,5199,ZERO_RESULTS
65,128,5201,5200,ZERO_RESULTS
65,129,5202,5201,ZERO_RESULTS
5,38,5203,5202,ZERO_RESULTS
18,38,5309,5308,ZERO_RESULTS
38,124,5395,5394,ZERO_RESULTS
38,125,5396,5395,ZERO_RESULTS
38,126,5397,5396,ZERO_RESULTS
38,127,5398,5397,ZERO_RESULTS
38,120,5399,5398,ZERO_RESULTS
38,121,5400,5399,ZERO_RESULTS
38,122,5401,5400,ZERO_RESULTS
38,123,5402,5401,ZERO_RESULTS
38,128,5403,5402,ZERO_RESULTS
38,129,5404,5403,ZERO_RESULTS
38,141,5453,5452,ZERO_RESULTS
65,108,5506,5505,ZERO_RESULTS
65,109,5507,5506,ZERO_RESULTS
65,104,5508,5507,ZERO_RESULTS
65,105,5509,5508,ZERO_RESULTS
65,106,5510,5509,ZERO_RESULTS
65,107,5511,5510,ZERO_RESULTS
65,100,5512,5511,ZERO_RESULTS
65,101,5513,5512,ZERO_RESULTS
65,102,5514,5513,ZERO_RESULTS
65,103,5515,5514,ZERO_RESULTS
33,38,5604,5603,ZERO_RESULTS
37,38,5730,5729,ZERO_RESULTS
38,99,6094,6093,ZERO_RESULTS
38,98,6095,6094,ZERO_RESULTS
38,91,6096,6095,ZERO_RESULTS
38,90,6097,6096,ZERO_RESULTS
38,93,6098,6097,ZERO_RESULTS
38,92,6099,6098,ZERO_RESULTS
38,95,6100,6099,ZERO_RESULTS
38,94,6101,6100,ZERO_RESULTS
38,97,6102,6101,ZERO_RESULTS
38,96,6103,6102,ZERO_RESULTS
65,93,6111,6110,ZERO_RESULTS
65,92,6112,6111,ZERO_RESULTS
65,91,6113,6112,ZERO_RESULTS
65,90,6114,6113,ZERO_RESULTS
65,97,6115,6114,ZERO_RESULTS
65,96,6116,6115,ZERO_RESULTS
65,95,6117,6116,ZERO_RESULTS
65,94,6118,6117,ZERO_RESULTS
65,99,6119,6118,ZERO_RESULTS
65,98,6120,6119,ZERO_RESULTS
32,38,6236,6235,ZERO_RESULTS
17,38,6237,6236,ZERO_RESULTS
13,38,6300,6299,ZERO_RESULTS
65,77,6913,6912,ZERO_RESULTS
65,76,6914,6913,ZERO_RESULTS
38,59,6994,6993,ZERO_RESULTS
38,58,6995,6994,ZERO_RESULTS
38,55,6996,6995,ZERO_RESULTS
38,54,6997,6996,ZERO_RESULTS
38,57,6998,6997,ZERO_RESULTS
38,56,6999,6998,ZERO_RESULTS
38,51,7000,6999,ZERO_RESULTS
38,50,7001,7000,ZERO_RESULTS
38,53,7002,7001,ZERO_RESULTS
38,52,7003,7002,ZERO_RESULTS
16,38,7016,7015,ZERO_RESULTS
12,38,7089,7088,ZERO_RESULTS
38,79,7355,7354,ZERO_RESULTS
38,78,7356,7355,ZERO_RESULTS
38,73,7357,7356,ZERO_RESULTS
38,72,7358,7357,ZERO_RESULTS
38,71,7359,7358,ZERO_RESULTS
38,70,7360,7359,ZERO_RESULTS
38,77,7361,7360,ZERO_RESULTS
38,76,7362,7361,ZERO_RESULTS
38,75,7363,7362,ZERO_RESULTS
38,74,7364,7363,ZERO_RESULTS
